"id","code","tv013_valeur_pont_thermique_type_liaison_id","tv013_valeur_pont_thermique_isolation_mur_id","tv013_valeur_pont_thermique_isolation_planche_bas_id","largeur_dormant","tv013_valeur_pont_thermique_type_pose_id","tv013_valeur_pont_thermique_retour_isolation_id","k","est_efface"
"124","TV013_124","1","5","NULL","5","2","2","0.00","0"
"125","TV013_125","1","5","NULL","10","2","2","0.00","0"
"126","TV013_126","1","2","NULL","5","1","1","0.00","0"
"127","TV013_127","1","2","NULL","10","1","1","0.00","0"
"128","TV013_128","1","2","NULL","5","3","1","0.19","0"
"129","TV013_129","1","2","NULL","10","3","1","0.15","0"
"130","TV013_130","1","2","NULL","5","2","1","0.20","0"
"131","TV013_131","1","2","NULL","10","2","1","0.20","0"
"132","TV013_132","1","2","NULL","5","1","2","0.00","0"
"133","TV013_133","1","2","NULL","10","1","2","0.00","0"
"134","TV013_134","1","2","NULL","5","3","2","0.20","0"
"135","TV013_135","1","2","NULL","10","3","2","0.20","0"
"136","TV013_136","1","2","NULL","5","2","2","0.20","0"
"137","TV013_137","1","2","NULL","10","2","2","0.20","0"
"138","TV013_138","6","NULL","NULL","NULL","NULL","NULL","0.00","0"
"139","TV013_139","1","NULL","NULL","NULL","NULL","NULL","0.00","0"
"140","TV013_140","1","8","NULL","NULL","NULL","NULL","0.00","0"
