,code,aiu_aue,aiu_aue_min,aiu_aue_max,uv_ue,aue_isole,aiu_isole,valeur,est_efface
97,TV001_098,"10,00 <  ? 25,00",10.0,25.0,0.3,0.0,0.0,0.1,0
98,TV001_099,"25,00 <  ? 50",25.0,50.0,0.3,0.0,0.0,0.05,0
99,TV001_100,"50,00 <",50.0,,0.3,0.0,0.0,0.0,0
100,TV001_101,"? 0,25",,0.25,3.0,0.0,0.0,0.9,0
101,TV001_102,"0,25 <  ? 0,50",0.25,0.5,3.0,0.0,0.0,0.8,0
102,TV001_103,"0,50 <  ? 0,75",0.5,0.75,3.0,0.0,0.0,0.75,0
103,TV001_104,"0,75 <  ? 1,00",0.75,1.0,3.0,0.0,0.0,0.7,0
104,TV001_105,"1,00 <  ? 1,25",1.0,1.25,3.0,0.0,0.0,0.65,0
105,TV001_106,"1,25 <  ? 2,00",1.25,2.0,3.0,0.0,0.0,0.5,0
106,TV001_107,"2,00 <  ? 2,50",2.0,2.5,3.0,0.0,0.0,0.45,0
107,TV001_108,"2,50 <  ? 3,00",2.5,3.0,3.0,0.0,0.0,0.4,0
108,TV001_109,"3,00 <  ? 3,50",3.0,3.5,3.0,0.0,0.0,0.4,0
109,TV001_110,"3,50 <  ? 4,00",3.5,4.0,3.0,0.0,0.0,0.35,0
110,TV001_111,"4,00 <  ? 6,00",4.0,6.0,3.0,0.0,0.0,0.25,0
111,TV001_112,"6,00 <  ? 8,00",6.0,8.0,3.0,0.0,0.0,0.2,0
112,TV001_113,"8,00 <  ? 10,00",8.0,10.0,3.0,0.0,0.0,0.2,0
113,TV001_114,"10,00 <  ? 25,00",10.0,25.0,3.0,0.0,0.0,0.15,0
114,TV001_115,"25,00 <  ? 50",25.0,50.0,3.0,0.0,0.0,0.05,0
115,TV001_116,"50,00 <",50.0,,3.0,0.0,0.0,0.05,0
116,TV001_117,"? 0,25",,0.25,9.0,0.0,0.0,0.95,0
117,TV001_118,"0,25 <  ? 0,50",0.25,0.5,9.0,0.0,0.0,0.9,0
118,TV001_119,"0,50 <  ? 0,75",0.5,0.75,9.0,0.0,0.0,0.85,0
119,TV001_120,"0,75 <  ? 1,00",0.75,1.0,9.0,0.0,0.0,0.8,0
120,TV001_121,"1,00 <  ? 1,25",1.0,1.25,9.0,0.0,0.0,0.8,0
121,TV001_122,"1,25 <  ? 2,00",1.25,2.0,9.0,0.0,0.0,0.7,0
122,TV001_123,"2,00 <  ? 2,50",2.0,2.5,9.0,0.0,0.0,0.65,0
123,TV001_124,"2,50 <  ? 3,00",2.5,3.0,9.0,0.0,0.0,0.6,0
124,TV001_125,"3,00 <  ? 3,50",3.0,3.5,9.0,0.0,0.0,0.55,0
125,TV001_126,"3,50 <  ? 4,00",3.5,4.0,9.0,0.0,0.0,0.5,0
